Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Date,Year,Month,Day,Weekday,Temperature Difference,Power [W],Wear Category,RPM_Torque_Ratio,Air_Process_Interaction,Temperature_Wear_Interaction,ToolWear_roll_mean_1_hours,ToolWear_roll_mean_6_hours,ToolWear_roll_mean_12_hours,ToolWear_roll_mean_24_hours
M,298.9,308.9,1750,29.9,50,0,No Failure,2024-01-02 00:15:00,2024,1,2,Tuesday,10.0,5479.7461461126,Very Low,58.52842809364549,92330.20999999999,15444.999999999998,43.25,61.291666666666664,114.89583333333333,90.53125
L,298.9,308.8,1529,32.7,53,0,No Failure,2024-01-02 00:30:00,2024,1,2,Tuesday,9.900000000000034,5236.0820207774805,Low,46.75840978593272,92300.31999999999,16366.400000000001,45.75,55.041666666666664,113.125,91.05208333333333
L,298.8,308.8,1523,44.4,55,0,No Failure,2024-01-02 00:45:00,2024,1,2,Tuesday,10.0,7081.643766756032,Low,34.3018018018018,92269.44,16984.0,48.5,48.833333333333336,111.3125,91.57291666666667
L,298.8,308.9,1852,25.0,57,0,No Failure,2024-01-02 01:00:00,2024,1,2,Tuesday,10.099999999999966,4848.776809651475,Low,74.08,92299.31999999999,17607.3,51.25,42.625,109.4375,92.09375
L,298.8,308.8,1991,20.7,59,0,No Failure,2024-01-02 01:15:00,2024,1,2,Tuesday,10.0,4316.113019436997,Low,96.18357487922705,92269.44,18219.2,53.75,36.416666666666664,107.5625,92.61458333333333
L,298.8,308.8,1555,40.6,61,0,No Failure,2024-01-02 01:30:00,2024,1,2,Tuesday,10.0,6611.616119302949,Low,38.30049261083744,92269.44,18836.8,56.0,30.208333333333332,105.625,93.13541666666667
M,298.8,308.8,1441,40.5,63,0,No Failure,2024-01-02 01:45:00,2024,1,2,Tuesday,10.0,6111.815097184986,Low,35.58024691358025,92269.44,19454.4,58.0,32.75,103.6875,93.65625
L,298.8,308.7,1450,43.4,66,0,No Failure,2024-01-02 02:00:00,2024,1,2,Tuesday,9.899999999999977,6590.356903485254,Low,33.41013824884793,92239.56,20374.2,60.0,35.291666666666664,101.75,94.16666666666667
L,298.8,308.7,1591,31.1,68,0,No Failure,2024-01-02 02:15:00,2024,1,2,Tuesday,9.899999999999977,5181.81342158177,Low,51.157556270096464,92239.56,20991.6,62.25,37.875,99.83333333333333,94.6875
L,298.8,308.7,1445,48.5,70,0,No Failure,2024-01-02 02:30:00,2024,1,2,Tuesday,9.899999999999977,7339.403904155496,Low,29.79381443298969,92239.56,21609.0,64.5,40.333333333333336,97.91666666666667,95.20833333333333
M,298.8,308.8,1497,46.8,72,0,No Failure,2024-01-02 02:45:00,2024,1,2,Tuesday,10.0,7337.005697050938,Low,31.98717948717949,92269.44,22233.600000000002,66.75,42.791666666666664,96.0,95.71875
H,298.9,308.8,1621,32.7,75,0,No Failure,2024-01-02 03:00:00,2024,1,2,Tuesday,9.900000000000034,5551.137315683646,Low,49.571865443425075,92300.31999999999,23160.0,69.0,45.25,94.0625,96.21875
L,298.9,308.7,1572,34.1,80,0,No Failure,2024-01-02 03:15:00,2024,1,2,Tuesday,9.800000000000011,5613.81534852547,Low,46.09970674486803,92270.43,24696.0,71.25,47.75,92.14583333333333,96.69791666666667
L,298.8,308.6,1872,22.5,82,0,No Failure,2024-01-02 03:30:00,2024,1,2,Tuesday,9.800000000000011,4411.025469168901,Low,83.2,92209.68000000001,25305.2,74.25,50.375,90.29166666666667,97.17708333333333
H,298.7,308.6,1499,43.5,84,0,No Failure,2024-01-02 03:45:00,2024,1,2,Tuesday,9.900000000000034,6828.763823726542,Low,34.45977011494253,92178.82,25922.4,77.25,52.958333333333336,88.41666666666667,97.64583333333333
M,298.8,308.7,1498,39.5,89,0,No Failure,2024-01-02 04:00:00,2024,1,2,Tuesday,9.899999999999977,6196.694872654156,Low,37.924050632911396,92239.56,27474.3,80.25,55.416666666666664,86.54166666666667,98.10416666666667
M,298.8,308.6,1486,41.9,92,0,No Failure,2024-01-02 04:15:00,2024,1,2,Tuesday,9.800000000000011,6520.5470844504025,Low,35.4653937947494,92209.68000000001,28391.2,83.75,58.0,84.70833333333333,98.59375
L,298.8,308.6,1680,29.4,95,0,No Failure,2024-01-02 04:30:00,2024,1,2,Tuesday,9.800000000000011,5172.587131367292,Low,57.142857142857146,92209.68000000001,29317.000000000004,86.75,60.583333333333336,82.89583333333333,99.09375
L,298.8,308.6,1431,45.7,97,0,No Failure,2024-01-02 04:45:00,2024,1,2,Tuesday,9.800000000000011,6848.68255697051,Low,31.312910284463893,92209.68000000001,29934.2,90.0,63.166666666666664,81.10416666666667,99.59375
L,298.9,308.7,1564,34.1,99,0,No Failure,2024-01-02 05:00:00,2024,1,2,Tuesday,9.800000000000011,5585.246313672922,Low,45.86510263929618,92270.43,30561.3,93.25,65.75,79.29166666666667,100.08333333333333
L,298.8,308.6,1599,33.0,101,0,No Failure,2024-01-02 05:15:00,2024,1,2,Tuesday,9.800000000000011,5526.0346849865955,Medium,48.45454545454545,92209.68000000001,31168.600000000002,95.75,68.33333333333333,77.41666666666667,100.54166666666667
M,298.8,308.6,1707,28.1,103,0,No Failure,2024-01-02 05:30:00,2024,1,2,Tuesday,9.800000000000011,5023.322302278821,Medium,60.74733096085409,92209.68000000001,31785.800000000003,98.0,70.875,75.54166666666667,100.98958333333333
L,298.7,308.5,1467,40.7,106,0,No Failure,2024-01-02 05:45:00,2024,1,2,Tuesday,9.800000000000011,6252.817107908847,Medium,36.04422604422604,92148.95,32701.0,100.0,73.41666666666667,73.66666666666667,101.40625
L,298.9,308.7,1433,44.7,108,0,No Failure,2024-01-02 06:00:00,2024,1,2,Tuesday,9.800000000000011,6708.183227211797,Medium,32.05816554809843,92270.43,33339.6,102.25,76.0,71.79166666666667,101.83333333333333
L,298.9,308.7,1558,41.2,110,0,No Failure,2024-01-02 06:15:00,2024,1,2,Tuesday,9.800000000000011,6722.268766756033,Medium,37.81553398058252,92270.43,33957.0,104.5,78.54166666666667,69.91666666666667,102.25
L,299.0,308.8,1310,50.7,112,0,No Failure,2024-01-02 06:30:00,2024,1,2,Tuesday,9.800000000000011,6955.533679624665,Medium,25.83826429980276,92331.2,34585.6,106.75,81.04166666666667,68.04166666666667,102.66666666666667
L,298.9,308.7,1546,43.4,114,0,No Failure,2024-01-02 06:45:00,2024,1,2,Tuesday,9.800000000000011,7026.683981233244,Medium,35.622119815668206,92270.43,35191.799999999996,109.0,83.5,66.16666666666667,103.07291666666667
L,298.9,308.7,1727,29.4,116,0,No Failure,2024-01-02 07:00:00,2024,1,2,Tuesday,9.800000000000011,5317.296414209115,Medium,58.74149659863946,92270.43,35809.2,111.0,85.95833333333333,64.29166666666667,103.47916666666667
